question,record,ThemeLabel,Definition,Keywords,response
Q24,2001002,Cheap Product Quality,Participants express concerns about the low quality of products sold by Temu.,"cheap, low quality, poor quality, junk, inferior",Temu is a Chinese company that sells cheap products.
Q24,1000062,Concerns About Source,Many participants express discomfort regarding the Chinese origin of Temu's products.,"Chinese, China, Chinese company, foreign, import",Chinese company
Q24,1000071,Concerns About Source,Many participants express discomfort regarding the Chinese origin of Temu's products.,"Chinese, China, Chinese company, foreign, import",Chinese owned company
Q24,1000118,Concerns About Source,Many participants express discomfort regarding the Chinese origin of Temu's products.,"Chinese, China, Chinese company, foreign, import",Owned by China and I only buy American
Q24,1000126,Concerns About Source,Many participants express discomfort regarding the Chinese origin of Temu's products.,"Chinese, China, Chinese company, foreign, import", 
Q24,1000256,Concerns About Source,Many participants express discomfort regarding the Chinese origin of Temu's products.,"Chinese, China, Chinese company, foreign, import",Owned and controlled by the Chinese
Q24,1000259,Concerns About Source,Many participants express discomfort regarding the Chinese origin of Temu's products.,"Chinese, China, Chinese company, foreign, import", 
Q24,1000701,Concerns About Source,Many participants express discomfort regarding the Chinese origin of Temu's products.,"Chinese, China, Chinese company, foreign, import",Temu is a chinese company most likely controlled by the chinese government
Q24,1000780,Concerns About Source,Many participants express discomfort regarding the Chinese origin of Temu's products.,"Chinese, China, Chinese company, foreign, import",Chinese owned
Q24,1000786,Concerns About Source,Many participants express discomfort regarding the Chinese origin of Temu's products.,"Chinese, China, Chinese company, foreign, import",china
Q24,1000800,Concerns About Source,Many participants express discomfort regarding the Chinese origin of Temu's products.,"Chinese, China, Chinese company, foreign, import", 
Q24,1001101,Concerns About Source,Many participants express discomfort regarding the Chinese origin of Temu's products.,"Chinese, China, Chinese company, foreign, import",Chinese company
Q24,1001158,Concerns About Source,Many participants express discomfort regarding the Chinese origin of Temu's products.,"Chinese, China, Chinese company, foreign, import", 
Q24,1001160,Concerns About Source,Many participants express discomfort regarding the Chinese origin of Temu's products.,"Chinese, China, Chinese company, foreign, import",same thing as shein.
Q24,1001200,Concerns About Source,Many participants express discomfort regarding the Chinese origin of Temu's products.,"Chinese, China, Chinese company, foreign, import",I have an unfavorable impression of Temu because of the problems that have been reported by consumers regarding the purchases they have made from the Temu website.
Q24,1001206,Concerns About Source,Many participants express discomfort regarding the Chinese origin of Temu's products.,"Chinese, China, Chinese company, foreign, import",Another Asian based online catalog. Have ordered from catalog but very wary when I did. Wasn't confident when I did.
Q24,1001256,Concerns About Source,Many participants express discomfort regarding the Chinese origin of Temu's products.,"Chinese, China, Chinese company, foreign, import",chinese government control
Q24,1001261,Concerns About Source,Many participants express discomfort regarding the Chinese origin of Temu's products.,"Chinese, China, Chinese company, foreign, import","They sell cheap, poor quality junk that, often, violates patents"
Q24,1001272,Concerns About Source,Many participants express discomfort regarding the Chinese origin of Temu's products.,"Chinese, China, Chinese company, foreign, import",They are a Chinese company serving the interest of the CCP.
Q24,1001329,Concerns About Source,Many participants express discomfort regarding the Chinese origin of Temu's products.,"Chinese, China, Chinese company, foreign, import",I think its hurting small businesses
Q24,1001350,Concerns About Source,Many participants express discomfort regarding the Chinese origin of Temu's products.,"Chinese, China, Chinese company, foreign, import", 
Q24,2000054,Concerns About Source,Many participants express discomfort regarding the Chinese origin of Temu's products.,"Chinese, China, Chinese company, foreign, import",Temu is a Chinese company.  I don't favor buying anything from China.
Q24,2000122,Concerns About Source,Many participants express discomfort regarding the Chinese origin of Temu's products.,"Chinese, China, Chinese company, foreign, import",Its based in china
Q24,2000221,Concerns About Source,Many participants express discomfort regarding the Chinese origin of Temu's products.,"Chinese, China, Chinese company, foreign, import",It is China goods
Q24,2000247,Concerns About Source,Many participants express discomfort regarding the Chinese origin of Temu's products.,"Chinese, China, Chinese company, foreign, import", 
Q24,2000281,Concerns About Source,Many participants express discomfort regarding the Chinese origin of Temu's products.,"Chinese, China, Chinese company, foreign, import", 
Q24,2000305,Concerns About Source,Many participants express discomfort regarding the Chinese origin of Temu's products.,"Chinese, China, Chinese company, foreign, import",Cheap products that break and contribute to environmental degradation
Q24,2000311,Concerns About Source,Many participants express discomfort regarding the Chinese origin of Temu's products.,"Chinese, China, Chinese company, foreign, import",Poor practices of child and cheap labor is the reason I dont have a positive image of Temu.
Q24,2000362,Concerns About Source,Many participants express discomfort regarding the Chinese origin of Temu's products.,"Chinese, China, Chinese company, foreign, import",their products are cheap and made from toxic materials
Q24,2000862,Concerns About Source,Many participants express discomfort regarding the Chinese origin of Temu's products.,"Chinese, China, Chinese company, foreign, import", 
Q24,2001002,Concerns About Source,Many participants express discomfort regarding the Chinese origin of Temu's products.,"Chinese, China, Chinese company, foreign, import",Temu is a Chinese company that sells cheap products.
Q24,1000006,Customer Trust Issues,Participants express distrust in Temu's business practices and product reliability.,"trust, scam, unreliable, dishonest, misleading", 
Q24,1000088,Customer Trust Issues,Participants express distrust in Temu's business practices and product reliability.,"trust, scam, unreliable, dishonest, misleading", 
Q24,1000098,Customer Trust Issues,Participants express distrust in Temu's business practices and product reliability.,"trust, scam, unreliable, dishonest, misleading",I tried to order something and kept telling me to add more items for free but the cost of shipping would go up
Q24,1000101,Customer Trust Issues,Participants express distrust in Temu's business practices and product reliability.,"trust, scam, unreliable, dishonest, misleading", 
Q24,1000119,Customer Trust Issues,Participants express distrust in Temu's business practices and product reliability.,"trust, scam, unreliable, dishonest, misleading",Because the brands come from China and are cheap and it takes a long time for them to get here.
Q24,1000127,Customer Trust Issues,Participants express distrust in Temu's business practices and product reliability.,"trust, scam, unreliable, dishonest, misleading",People have gotten merchandise that is of low quality and it borders on being a scam.
Q24,1000136,Customer Trust Issues,Participants express distrust in Temu's business practices and product reliability.,"trust, scam, unreliable, dishonest, misleading", 
Q24,1000141,Customer Trust Issues,Participants express distrust in Temu's business practices and product reliability.,"trust, scam, unreliable, dishonest, misleading",It misrepresents the product they are trying to sell.
Q24,1000151,Customer Trust Issues,Participants express distrust in Temu's business practices and product reliability.,"trust, scam, unreliable, dishonest, misleading",There is no way on earth that they could offer the products they do with the prices they do. And friends have ordered from there and the product wasnt quite up to their standards so Im going with unfavorable on that one.
Q24,1000199,Customer Trust Issues,Participants express distrust in Temu's business practices and product reliability.,"trust, scam, unreliable, dishonest, misleading",
Q24,1000252,Customer Trust Issues,Participants express distrust in Temu's business practices and product reliability.,"trust, scam, unreliable, dishonest, misleading",I have seen many people get their information stolen and received products that werent like the picture.
Q24,1000270,Customer Trust Issues,Participants express distrust in Temu's business practices and product reliability.,"trust, scam, unreliable, dishonest, misleading",I just dont trust it
Q24,1000296,Customer Trust Issues,Participants express distrust in Temu's business practices and product reliability.,"trust, scam, unreliable, dishonest, misleading","Their products are cheaply produced and they're a massive scam - they tempt you in with promises of earning free money and gifts, then you have to refer tens, if not hundreds of people to their service, and even then, you're lucky if you even get anything at all. It sounds like one big data laundering scheme if you ask me."
Q24,1000316,Customer Trust Issues,Participants express distrust in Temu's business practices and product reliability.,"trust, scam, unreliable, dishonest, misleading",Takes advantage of customers to continue shopping
Q24,1000734,Customer Trust Issues,Participants express distrust in Temu's business practices and product reliability.,"trust, scam, unreliable, dishonest, misleading", 
Q24,1000755,Customer Trust Issues,Participants express distrust in Temu's business practices and product reliability.,"trust, scam, unreliable, dishonest, misleading", 
Q24,1000775,Customer Trust Issues,Participants express distrust in Temu's business practices and product reliability.,"trust, scam, unreliable, dishonest, misleading",scam shopping site
Q24,1000819,Customer Trust Issues,Participants express distrust in Temu's business practices and product reliability.,"trust, scam, unreliable, dishonest, misleading", 
Q24,1000895,Customer Trust Issues,Participants express distrust in Temu's business practices and product reliability.,"trust, scam, unreliable, dishonest, misleading", 
Q24,1000996,Customer Trust Issues,Participants express distrust in Temu's business practices and product reliability.,"trust, scam, unreliable, dishonest, misleading","I feel they just sell junk and although I haven't ordered from them, I've had friends order things and they say everything they receive is cheap and poor quality."
Q24,1001200,Customer Trust Issues,Participants express distrust in Temu's business practices and product reliability.,"trust, scam, unreliable, dishonest, misleading",I have an unfavorable impression of Temu because of the problems that have been reported by consumers regarding the purchases they have made from the Temu website.
Q24,1001321,Customer Trust Issues,Participants express distrust in Temu's business practices and product reliability.,"trust, scam, unreliable, dishonest, misleading",Because they have unfair labor practices and their merchandise is garbage.
Q24,1001356,Customer Trust Issues,Participants express distrust in Temu's business practices and product reliability.,"trust, scam, unreliable, dishonest, misleading", 
Q24,2000027,Customer Trust Issues,Participants express distrust in Temu's business practices and product reliability.,"trust, scam, unreliable, dishonest, misleading", 
Q24,2000054,Customer Trust Issues,Participants express distrust in Temu's business practices and product reliability.,"trust, scam, unreliable, dishonest, misleading",Temu is a Chinese company.  I don't favor buying anything from China.
Q24,2000121,Customer Trust Issues,Participants express distrust in Temu's business practices and product reliability.,"trust, scam, unreliable, dishonest, misleading","It's also cheap, crappy stuff."
Q24,2000203,Customer Trust Issues,Participants express distrust in Temu's business practices and product reliability.,"trust, scam, unreliable, dishonest, misleading",Sells cheap merchandise
Q24,2000221,Customer Trust Issues,Participants express distrust in Temu's business practices and product reliability.,"trust, scam, unreliable, dishonest, misleading",It is China goods
Q24,2000247,Customer Trust Issues,Participants express distrust in Temu's business practices and product reliability.,"trust, scam, unreliable, dishonest, misleading", 
Q24,2000305,Customer Trust Issues,Participants express distrust in Temu's business practices and product reliability.,"trust, scam, unreliable, dishonest, misleading",Cheap products that break and contribute to environmental degradation
Q24,2000311,Customer Trust Issues,Participants express distrust in Temu's business practices and product reliability.,"trust, scam, unreliable, dishonest, misleading",Poor practices of child and cheap labor is the reason I dont have a positive image of Temu.
Q24,2000362,Customer Trust Issues,Participants express distrust in Temu's business practices and product reliability.,"trust, scam, unreliable, dishonest, misleading",their products are cheap and made from toxic materials
Q24,2000862,Customer Trust Issues,Participants express distrust in Temu's business practices and product reliability.,"trust, scam, unreliable, dishonest, misleading", 
Q24,2001002,Customer Trust Issues,Participants express distrust in Temu's business practices and product reliability.,"trust, scam, unreliable, dishonest, misleading",Temu is a Chinese company that sells cheap products.
Q24,1000340,Environmental Concerns,Participants raise issues regarding the environmental impact of Temu's products and practices.,"environment, pollution, waste, overconsumption, fast fashion",They sell cheap junk and contribute to the decline of our environment.
Q24,1000860,Environmental Concerns,Participants raise issues regarding the environmental impact of Temu's products and practices.,"environment, pollution, waste, overconsumption, fast fashion", 
Q24,1001356,Environmental Concerns,Participants raise issues regarding the environmental impact of Temu's products and practices.,"environment, pollution, waste, overconsumption, fast fashion", 
Q24,1001459,Environmental Concerns,Participants raise issues regarding the environmental impact of Temu's products and practices.,"environment, pollution, waste, overconsumption, fast fashion", 
Q24,1001698,Environmental Concerns,Participants raise issues regarding the environmental impact of Temu's products and practices.,"environment, pollution, waste, overconsumption, fast fashion", 
Q24,2000305,Environmental Concerns,Participants raise issues regarding the environmental impact of Temu's products and practices.,"environment, pollution, waste, overconsumption, fast fashion",Cheap products that break and contribute to environmental degradation
Q24,2000311,Environmental Concerns,Participants raise issues regarding the environmental impact of Temu's products and practices.,"environment, pollution, waste, overconsumption, fast fashion",Poor practices of child and cheap labor is the reason I dont have a positive image of Temu.
Q24,2000362,Environmental Concerns,Participants raise issues regarding the environmental impact of Temu's products and practices.,"environment, pollution, waste, overconsumption, fast fashion",their products are cheap and made from toxic materials
Q24,2000862,Environmental Concerns,Participants raise issues regarding the environmental impact of Temu's products and practices.,"environment, pollution, waste, overconsumption, fast fashion", 
Q24,2001002,Environmental Concerns,Participants raise issues regarding the environmental impact of Temu's products and practices.,"environment, pollution, waste, overconsumption, fast fashion",Temu is a Chinese company that sells cheap products.
Q24,1000091,Advertising and Marketing Tactics,"Participants criticize Temu's advertising methods, suggesting they are deceptive or misleading.","advertising, deceptive, misleading, bait and switch, false advertising","They sell lowly quality junk. Also, they played the same commercial during the Super Bowl for what felt like a hundred times (I think it was actually about 5 or 6). The song was so annoying and distracting. I havent forgiven them for trying to ruin the Super Bowl."
Q24,1000101,Advertising and Marketing Tactics,"Participants criticize Temu's advertising methods, suggesting they are deceptive or misleading.","advertising, deceptive, misleading, bait and switch, false advertising", 
Q24,1000121,Advertising and Marketing Tactics,"Participants criticize Temu's advertising methods, suggesting they are deceptive or misleading.","advertising, deceptive, misleading, bait and switch, false advertising", 
Q24,1000141,Advertising and Marketing Tactics,"Participants criticize Temu's advertising methods, suggesting they are deceptive or misleading.","advertising, deceptive, misleading, bait and switch, false advertising",It misrepresents the product they are trying to sell.
Q24,1000814,Advertising and Marketing Tactics,"Participants criticize Temu's advertising methods, suggesting they are deceptive or misleading.","advertising, deceptive, misleading, bait and switch, false advertising",The stuff you buy is not good products.
Q24,1001321,Advertising and Marketing Tactics,"Participants criticize Temu's advertising methods, suggesting they are deceptive or misleading.","advertising, deceptive, misleading, bait and switch, false advertising",Because they have unfair labor practices and their merchandise is garbage.
Q24,1001356,Advertising and Marketing Tactics,"Participants criticize Temu's advertising methods, suggesting they are deceptive or misleading.","advertising, deceptive, misleading, bait and switch, false advertising", 
Q24,2000210,Advertising and Marketing Tactics,"Participants criticize Temu's advertising methods, suggesting they are deceptive or misleading.","advertising, deceptive, misleading, bait and switch, false advertising",Temu is highly dishonest in their advertising to their consumers
Q24,2000221,Advertising and Marketing Tactics,"Participants criticize Temu's advertising methods, suggesting they are deceptive or misleading.","advertising, deceptive, misleading, bait and switch, false advertising",It is China goods
Q24,2000862,Advertising and Marketing Tactics,"Participants criticize Temu's advertising methods, suggesting they are deceptive or misleading.","advertising, deceptive, misleading, bait and switch, false advertising", 
Q24,1000050,Concerns About Labor Practices,Participants express concerns regarding the labor practices associated with Temu's products.,"child labor, exploitation, unfair labor, sweatshops, working conditions",Poor quality of products
Q24,1000056,Concerns About Labor Practices,Participants express concerns regarding the labor practices associated with Temu's products.,"child labor, exploitation, unfair labor, sweatshops, working conditions", 
Q24,1000283,Concerns About Labor Practices,Participants express concerns regarding the labor practices associated with Temu's products.,"child labor, exploitation, unfair labor, sweatshops, working conditions",poor quality products and dubious likelihood of delivery
Q24,1000690,Concerns About Labor Practices,Participants express concerns regarding the labor practices associated with Temu's products.,"child labor, exploitation, unfair labor, sweatshops, working conditions", 
Q24,1001100,Concerns About Labor Practices,Participants express concerns regarding the labor practices associated with Temu's products.,"child labor, exploitation, unfair labor, sweatshops, working conditions",Slave labor and money not being spent in the usa.
Q24,1001356,Concerns About Labor Practices,Participants express concerns regarding the labor practices associated with Temu's products.,"child labor, exploitation, unfair labor, sweatshops, working conditions", 
Q24,2000054,Concerns About Labor Practices,Participants express concerns regarding the labor practices associated with Temu's products.,"child labor, exploitation, unfair labor, sweatshops, working conditions",Temu is a Chinese company.  I don't favor buying anything from China.
Q24,2000136,Concerns About Labor Practices,Participants express concerns regarding the labor practices associated with Temu's products.,"child labor, exploitation, unfair labor, sweatshops, working conditions","They sell Chinese products , some are real crap"
Q24,2000221,Concerns About Labor Practices,Participants express concerns regarding the labor practices associated with Temu's products.,"child labor, exploitation, unfair labor, sweatshops, working conditions",It is China goods
Q24,2000862,Concerns About Labor Practices,Participants express concerns regarding the labor practices associated with Temu's products.,"child labor, exploitation, unfair labor, sweatshops, working conditions", 
Q24,1000796,Shipping and Delivery Issues,Participants report dissatisfaction with the shipping times and delivery experiences from Temu.,"shipping, delivery, long wait, delays, not received",Bought only one time and it took forever to arrive
Q24,1000797,Shipping and Delivery Issues,Participants report dissatisfaction with the shipping times and delivery experiences from Temu.,"shipping, delivery, long wait, delays, not received", 
Q24,1000800,Shipping and Delivery Issues,Participants report dissatisfaction with the shipping times and delivery experiences from Temu.,"shipping, delivery, long wait, delays, not received", 
Q24,1001200,Shipping and Delivery Issues,Participants report dissatisfaction with the shipping times and delivery experiences from Temu.,"shipping, delivery, long wait, delays, not received",I have an unfavorable impression of Temu because of the problems that have been reported by consumers regarding the purchases they have made from the Temu website.
Q24,2000121,Shipping and Delivery Issues,Participants report dissatisfaction with the shipping times and delivery experiences from Temu.,"shipping, delivery, long wait, delays, not received","It's also cheap, crappy stuff."
Q24,2000221,Shipping and Delivery Issues,Participants report dissatisfaction with the shipping times and delivery experiences from Temu.,"shipping, delivery, long wait, delays, not received",It is China goods
Q24,2000862,Shipping and Delivery Issues,Participants report dissatisfaction with the shipping times and delivery experiences from Temu.,"shipping, delivery, long wait, delays, not received", 
Q24,2001002,Shipping and Delivery Issues,Participants report dissatisfaction with the shipping times and delivery experiences from Temu.,"shipping, delivery, long wait, delays, not received",Temu is a Chinese company that sells cheap products.
Q26,1000011,Concerns about Chinese Ownership,Participants express distrust and concerns regarding TikTok's ownership by a Chinese company and its implications for data privacy and security.,"Chinese ownership, data privacy, security concerns, spying, CCP",security and China
Q26,1000050,Concerns about Chinese Ownership,Participants express distrust and concerns regarding TikTok's ownership by a Chinese company and its implications for data privacy and security.,"Chinese ownership, data privacy, security concerns, spying, CCP",Definitely controlled by Chinese government
Q26,1000062,Concerns about Chinese Ownership,Participants express distrust and concerns regarding TikTok's ownership by a Chinese company and its implications for data privacy and security.,"Chinese ownership, data privacy, security concerns, spying, CCP",Chinese company intending to have a negative effect on American young people
Q26,1000085,Concerns about Chinese Ownership,Participants express distrust and concerns regarding TikTok's ownership by a Chinese company and its implications for data privacy and security.,"Chinese ownership, data privacy, security concerns, spying, CCP",Chinese government control
Q26,1000100,Concerns about Chinese Ownership,Participants express distrust and concerns regarding TikTok's ownership by a Chinese company and its implications for data privacy and security.,"Chinese ownership, data privacy, security concerns, spying, CCP",Because it is owned by China and may be spying on users
Q26,1000131,Concerns about Chinese Ownership,Participants express distrust and concerns regarding TikTok's ownership by a Chinese company and its implications for data privacy and security.,"Chinese ownership, data privacy, security concerns, spying, CCP",They are a propaganda arm of the CCP.
Q26,1000180,Concerns about Chinese Ownership,Participants express distrust and concerns regarding TikTok's ownership by a Chinese company and its implications for data privacy and security.,"Chinese ownership, data privacy, security concerns, spying, CCP",
